,Place,Rating out of 5,Best Time to Visit,Tags,Description
18,Jaipur,4.4,October to March," ""Temple City of India"" "," Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business."
19,Lonavala,4.1,Throughout the year," ""Buddha, Mahabodhi Tree and the land of Nirvana"" "," Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment."
20,Mussoorie,4.2,September to Jun," ""The desert town of 'Camel Festival'"" "," Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, its ancient palaces and forts. Rightly called as one of the three great desert kingdoms of Rajasthan, the dazzling city boasts of old-world charm, opulent havelis and depicts a pleasing bygone era of the Rajputs. Best known as the ""camel country"" for breeding some best-known riding camels, Bikaner also happens to house one of the only two models of the biplane used by the British in World War 1."
21,Kodaikanal,4.4,September to May," ""India's first planned city"" "," Chandigarh is a union territory that is the capital of both Punjab, as well as, Haryana. India's first planned city, Chandigarh is traditionally a Punjabi city at heart with a healthy dose of modernity; Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is known for! Located at a distance of 265 km from Delhi, Chandigarh is one of the popular weekend road trip destinations and other major cities but also acts as an important staging point when one heads to destinations in Himachal Pradesh and Jammu and Kashmir."
22,Dalhousie,4.2,Throughout the year," ""The Detroit of India"" "," Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of India, having a rich cultural history which it perfectly balances with its metropolis lifestyle."
23,Pachmarhi,4.4,Throughout the year," ""Manchester of the South India"" "," Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temples to classy new buildings, from breathtaking mountains to jaw-dropping waterfalls, from mouth-watering cuisine to pleasant weather all year round, Coimbatore has everything you could possibly need to make for a perfect holiday experience. Coimbatore is home to a massive 112 feet tall statue of Lord Shiva, known as the Adiyogi Shiva Statue. Featured in the Guinness Book of World Records, this architectural masterpiece is a very popular tourist spot in Coimbatore and stands as a symbol of self-transformation and inner peace. "
24,Varanasi,4.5,October to March," ""The Scotland of India"" "," Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specializing in martial arts, are especially notable for their keen hospitality."
25,Mumbai,4.2,October to February," ""Meghalaya's dew drop"" "," Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest place on earth, Cherrapunji still holds the record for the highest recorded rainfall in a calendar year. Apart from the famous living root bridge, other natural attractions include cave formations such as the Mawsmai Caves and Krem Phyllut. Asia's cleanest village, Mawylyngnong is another famous tourist spot here, where visitors can live and experience the food and culture of the village."
26,Agra,4.2,October to March," ""City of Pride and Honor"" "," Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of around 700 acres. The capital of the erstwhile kingdom of Mewar, the magnificent fortress will always be remembered for the courageous self-sacrificing Jauhar performed by Rani Padmini to thwart the conquest of the fort by Alauddin Khilji."
27,Kolkata,4.3,October to March," ""Little Switzerland of India"" "," Dalhousie is a popular hill station spread out over five hills in Himachal Pradesh boasting views of the snow-capped peaks of the Dhauladhar ranges. Famous for its meadows, dense forests, and waterfalls, it is especially a favourite amongst honeymooners and family vacationers."
28,Jodhpur,4.2,November to February," ""The Capital City of India"" "," The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart."
29,Bangalore,4.1,Throughout the year," ""Queen of The Himalayas"" "," Darjeeling, the former summer capital of India under the British Raj, has evolved into one of India's most sought-after hill stations. This picturesque hill destination in West Bengal is ideal for a romantic honeymoon. Darjeeling, nestled among acres of tea estates, is 2,050 metres above sea level and thus has a cool climate all year."
30,Amritsar,4.4,October to March," ""A blissful and untouched beach town"" "," Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal."
31,Delhi,4.1,October to March," ""The little Lhasa in India"" "," Dharamshala is a beautiful hill town in the Dhauladhar range of Himalayas. It is the winter capital of Himachal Pradesh and is located in the upper slopes of the Kangra valley. Once known as a british hill station during the colonial era, Dharamsala soon became occupied by Tibetan communities and is now home to the greatest Buddhist leader Dalai Lama. "
32,Jaisalmer,4.4,October to March," ""The Gateway to Sikkim"" "," Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. Dzongri Trek, Varsey/Barsey Trek, and Tholung Trek are among the most popular treks departing from Gangtok. The possibility of paragliding and hang gliding is also not far from Gangtok. The capital city serves as an excellent starting point for mountain biking excursions. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets."
33,Mount Abu,4.3,October to March," ""The land of Asiatic Lions"" "," Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May."
34,Wayanad,4.3,Throughout the year," ""Beaches, Sunsets and Crazy Nights"" "," Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or a beach getaway, and one of the only few destinations that is open 24x7. The laid-backness (susegad) of Goa attracts as many international tourists as it does Indians, or even more so."
35,Hyderabad,4.1,September to March," ""Heart of Winter Sports in India"" "," Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's second-highest Gondola ride."
36,Pondicherry,4.1,October to March," ""Tourism Capital of Madhya Pradesh"" "," Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past."
37,Khajuraho,4.6,July to March," ""The abode of bygone ruins, rusty colors and fascinating landscape"" "," Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history."
38,Chennai,3.9,October to March," ""Gateway to God"" "," Haridwar is one of the seven holiest cities in India, situated in Uttarakhand. It is located where the sacred river Ganga enters the Indo-Gangetic plains for the first time. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the sacred Har Ki Pauri relieves one of all the sins."
39,Vaishno Devi,4.4,Throughout the year," ""The one that will take your breath away"" "," Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, oil massages by locals make it a perfect one day trip or a weekend getaway from Bangalore."
40,Ajanta and Ellora Caves,4.4,June to March," ""The Land of the Golden Sands"" "," Honnemaradu is a small cosy village, by the Honnemaradu Reservoir. The site is set in the middle of a valley and a weekend getaway to this place is nothing less than an adventure camp. The little village has very few people, and the only attraction is the water sports done at the Honnemaradu lake. Camping, canoeing or even just relaxing by the lake, Honnemaradu is perfect for a quick getaway. There are other attractions there as well like the Dabbe Falls and the famous Jog Falls are closeby. "
41,Haridwar,4,Throughout the year," ""The City of Nizams"" "," A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once."
42,Kanyakumari,4.1,October to February," ""The Pink City"" "," Also called the Pink City, Jaipur is the capital of the royal state of Rajasthan. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits in the country."
43,Pune,4.1,July to March," ""The Golden City"" ",""""""
44,Kochi,4.2,July to April," ""Home to the Royal Bengal Tiger"" "," Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve."
45,Ahmedabad,4.1,October to March," ""The Blue City"" "," Jodhpur is the second-largest city in Rajasthan and the former capital of the Marwar region. It is popularly called ""the Blue City"" as it looks completely blue from an aerial view because of its blue walls and houses. Jodhpur is primarily famous for its temples, lakes and snacks, with the magnificent Mehrangarh Fort being the main attraction."
46,Kanha National Park,3.8,October to Jun," ""Second Highest Waterfall in India"" "," The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construction of Linganamakki Dam which is a hydroelectricity plant closeby, the flow in the falls is hugely restricted before monsoons. So, it is best to go during the Monsoon season to see the falls in its full form."
47,Mysore,4.2,Throughout the year,," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc."
48,Chandigarh,4.2,August to March," ""The land of Jungle Book"" "," Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in India, the present-day area stretches over the 940-kilometre square which is divided into two sanctuaries: Hallon and Banjar. "
49,Hampi,4.5,October to March," ""Cape Comorin or The Land's End"" "," Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. "
50,Gulmarg,4.6,October to Jun," ""Cozy little hill-station"" "," Located on the road from Chandigarh to Shimla in the Solan district, Kasauli is a hilly cantonment town that makes for an ideal peaceful holiday location, especially for a weekend getaway. Mainly known for its accessibility from Chandigarh and Delhi (located just 65 km away from Chandigarh), Kasauli is not about particular attractions or activities but the beautiful villas and the serene environment."
51,Almora,3.9,Throughout the year,," Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. The valley is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and serene river."
52,Shirdi,4.4,July to March," ""Home to the One Horned Rhino"" "," Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it roughly at the centre of the state. Approximately around five hours by road from Guwahati, Kaziranga National Park stands tall as the epitome of successful wildlife conservation in India. In 1985, it was awarded the status of a World Heritage Site by UNESCO."
53,Auli,4.2,Throughout the year," ""The Architectural Masterpiece"" "," Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound."
54,Madurai,4.1,October to March," ""Misty Mountains"" "," Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls."
55,Amarnath,4.6,May to September," ""Queen of Arabian Sea"" "," Lying on the Malabar coast in the southwest of India, Kochi or Cochin is a port city with a trading history that dates back to at least 600 years. Known popularly as the Queen of the Arabian Sea, the city is also Kerala's financial, commercial, and industrial capital. Exuding an old-world charm with diverse linguistics, such as the Jews, Konkinis, Gujaratis, and ethnic communities like the anglo-indians, Kochi has an indiscriminate mix of backwaters, beaches, islands, coasts, and plain terrains."
56,Bodh Gaya,4.4,October to March," ""The Princess of Hill Stations"" "," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'."
57,Mahabaleshwar,4.3,October to Jun," ""The city of Joy"" "," Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrives on contradictions and imposing spectacles; nothing is commonplace in this city. Famously known as the City of Joy, Kolkata is, in every sense, the artistic, cultural and intellectual capital of the country. Kolkata's streets are vivid, hectic, chaotic, and yet, brimming with life and creativity. Driven by the indomitable spirit of the self-made middle class, the city has created a beautiful juxtaposition of the old colonial-era charm with the nascent upcoming hipster culture that thrives amongst the city's millennial residents."
58,Visakhapatnam,4.4,September to March," ""Beaches, Ayurveda and Shopping"" "," Famous for its resorts and ayurvedic massage centres, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa beach. All these three beaches are crescent-shaped shallow water and low tidal beaches."
59,Kasol,4.4,October to Jun," ""India's first planned hill city"" "," Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure."
60,Nashik,4,July to March," ""India's Own Moonland"" "," Ladakh is a union territory in the Kashmir region of India. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending from the Siachen Glacier to the main Great Himalayas, Ladakh is a land like no other. Dominated by dramatic landscapes, Ladakh is known as the world's coldest desert."
61,Tirupati,4.5,September to March," ""Misty Weekend Getaway"" "," Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports."
62,Ujjain,4.4,October to March," ""The City of Nawabs and Kebabs"" "," The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nutshell for you. From a slice of rich colonial history to modernized museums, this artistic hub of Awadh region beautifully brings together the opulence of a glittering past and the simplicity of a modern city."
63,Jim Corbett National Park,4,Mid October to Mid Jun," ""Karnataka's Coffee Capital"" "," Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no pollution, no noise to hurt your ears and the cool breeze that accompanies you throughout makes your trip memorable."
64,Gwalior,3.8,July to March," ""The Lotus City"" "," Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amman Temple, dedicated to the goddess Meenakshi with a sanctum for her consort, Sundareshwarar. "
65,Mathura,4.3,October to March," ""The land of Strawberries"" "," Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai."
66,Jog Falls,4.4,July to December,,
67,Alibaug,3.9,November to March," ""Cutest little hill-station of India"" "," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Matheran is the smallest hill station in India but is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity."
68,Rameshwaram,4.1,Throughout the year," ""The hometown of Lord Krishna"" "," One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and attracts a horde of pilgrims from all over the world. "
69,Vrindavan,4.3,October to March," ""Land of His Holiness the Dalai Lama - Little Lhasa"" "," Mcleodganj, Himachal Pradesh is one of the most popular tourist destinations for it's tibetan culture, nature treks, greenery, ancient temples & monasteries, and british influence. Located in the Kangra district, it's on the outskirts of Dharamshala.Famous for being home to the Tibetan spiritual leader Dalai Lama, Mcleod Ganj is culturally blessed by a prominent Tibetan influence owing to the major settlement of Tibetans here who fled their homeland. It is also worth noting that Tibet's exiled government is also based solely in Mcleodganj which is also why it's called the Little Lhasa."
70,Coimbatore,4.1,September to March," ""A beautiful hill station in Rajasthan"" "," The only hill station of Rajasthan, Mount Abu is located in the Aravali range. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning pieces of architecture in the country.  Travellers can enjoy calm and relaxed boating in Nakki Lake, and a view of the sunset from the vista points. The restaurants and eateries around the lake are great places to eat local food and chill. The highest peak of the Aravali Range - Guru Shikhar also lies in Mt. Abu. Mount Abu Forest Sanctuary with an abundance of flora and fauna is also a highlight."
71,Lucknow,4.1,October to March," ""The City of Dreams"" "," Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles."
72,Digha,4,July to March," ""Kashmir of South India"" "," Famous for the tea estates, greenery, winding roads, blanket of mist, and viewpoints, Munnar is a hill station in Kerala, located in the Idukki district. Lying in the Western Ghats at 1600 metres, it is one of the most sought after and visited travel destinations globally, especially popular amongst honeymooners."
73,Dharamshala,4.1,October to Jun," ""The queen of hill-stations"" "," Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in the Dehradun district of Uttarakhand. With a backdrop of the Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level. With a cool and pleasant climate throughout the year, Mussoorie was once the British summer capital."
74,Kovalam,4.2,September to March," ""Home to the Mysore Maharajas"" "," Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit."
75,Kaziranga National Park,3.8,October to Jun,," Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination."
76,Madikeri,4.4,February to September," ""City of Lakes"" "," Nainital is a charming hill station located at the foothills of the Kumaon ranges in Uttarakhand. Located close to Dehradun and Delhi, it is the most visited hill station in North India. Nainital is a perfect weekend getaway from Delhi and the nearby places."
77,Matheran,4.3,Throughout the year," ""Of Wines and Vineyards"" "," Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination."
